C3,C4,Timestamp
-151377.479896245,-120994.59719593493,1747830155.041294
-151402.1338703792,-120995.33480350194,1747830155.048534
-151374.26124504342,-120991.08797205544,1747830155.057316
-151401.79859421236,-120995.49126571314,1747830155.064364
-151375.26707354392,-120991.02091682208,1747830155.072314
-151398.1329081217,-120993.27844301207,1747830155.083371
-151373.30012003187,-120987.98107957616,1747830155.09036
-151389.95216965105,-120988.07048655397,1747830155.098614
-151372.9201403761,-120986.12588478636,1747830155.107381
-151387.02409112742,-120988.58457667644,1747830155.114437
-151375.49059098848,-120986.61762316438,1747830155.120432
-151380.76560267992,-120985.6564981528,1747830155.13244
-151375.84821889977,-120984.67302139677,1747830155.13843
-151375.6694049441,-120983.98011731866,1747830155.1605
-151375.31177703282,-120981.05203879501,1747830155.167517
-151371.4225734976,-120982.63901265133,1747830155.174509
-151378.8880561457,-120982.16962601777,1747830155.181537
-151366.03580308388,-120980.89557658382,1747830155.188534
-151380.96676838002,-120982.43784695123,1747830155.194521
-151362.03484082638,-120980.24737599462,1747830155.201543
-151379.04451835688,-120979.5097684276,1747830155.207558
-151357.05040181286,-120978.12396027136,1747830155.214596
-151380.6761957021,-120980.87322483936,1747830155.221616
-151354.9269860896,-120978.28042248255,1747830155.228644
-151380.16210557963,-120981.0073353061,1747830155.234639
-151353.96586107803,-120978.81686434947,1747830155.24166
-151380.1397538352,-120982.21432950668,1747830155.249637
-151354.90463434515,-120980.53794867253,1747830155.257669
-151378.9327596346,-120983.44367545172,1747830155.266679
-151352.84827385526,-120978.61569864937,1747830155.274709
-151374.8200386548,-120982.37079171787,1747830155.281721
-151357.43038146858,-120982.48255044015,1747830155.288724
-151372.5178089759,-120983.82365510747,1747830155.295692
-151355.59753842326,-120979.82269284996,1747830155.303758
-151363.93473910508,-120979.64387889432,1747830155.312744
-151357.20686402405,-120980.06856203897,1747830155.32079
-151357.2739192574,-120977.92279457126,1747830155.328768
-151355.28461400088,-120977.18518700424,1747830155.337775
-151349.85314009825,-120975.73232361465,1747830155.345776
-151357.1174570462,-120978.302774227,1747830155.353806
-151346.85800634124,-120978.16866376027,1747830155.359823
