trial_number,label,channel3_mean,channel3_std,channel3_var,channel3_min,channel3_max,channel3_range,channel3_skewness,channel3_kurtosis,channel3_zero_crossing_rate,channel3_signal_energy,channel3_delta_power,channel3_theta_power,channel3_alpha_power,channel3_mu_power,channel3_beta_power,channel3_gamma_power,channel4_mean,channel4_std,channel4_var,channel4_min,channel4_max,channel4_range,channel4_skewness,channel4_kurtosis,channel4_zero_crossing_rate,channel4_signal_energy,channel4_delta_power,channel4_theta_power,channel4_alpha_power,channel4_mu_power,channel4_beta_power,channel4_gamma_power
85,0,22.7418563491702,356.45693028693717,127061.54314958637,-1147.3363408463683,363.92181906706264,1511.258159913431,-1.1052215803695806,0.16477836969925308,0.00267379679144385,47714446.95724245,432926420.08535224,1512644.7760171695,68378.57410371774,66971.24968205194,6972.121280957971,1860.4303195264351,-130.58464969170058,70.03192117294316,4904.469983173324,-206.522954396969,49.877143594618104,256.40009799158713,1.0594376544084243,-0.12702512120013498,0.00267379679144385,8211850.9486357765,148139281.8274008,87016.95427710035,21425.095261726183,19319.203890469442,4792.6521681815875,911.9427716328653
86,0,-3488.3740823526286,1788.6903101746514,3199413.0257126903,-6820.213420368332,-58.67785223839428,6761.535568129937,-0.2322060047795471,-1.1557633586055818,0.0,5747694369.789195,57209439471.006676,33945863.65149076,468321.4986876934,422416.5165237414,19327.97244952936,1867.7538757939803,83.86631696067019,181.7020138541087,33015.62183863872,-278.21888572322774,507.108947781226,785.3278335044538,0.5003642050989776,-0.6502114180741438,0.008021390374331552,14978393.678735685,91358298.96618964,386896.6425365031,10956.071346255594,9607.835372917374,10094.250621681535,3363.0143038831275
87,0,-6105.8883057240155,1652.9835384692005,2732354.578450159,-8079.695832611704,-2452.8465522408396,5626.849280370864,0.6976666211651955,-0.8660432466298706,0.0,14965320741.079863,214922920749.2915,23978969.665064722,950910.74483367,1230972.4375686164,950713.0454125227,1172231.5412893896,833.3028846801927,126.11016146024292,15903.77282352854,510.5586176749079,997.6148359389916,487.0562182640837,-0.8336826114751615,-0.39107084408447834,0.0,265651253.94450733,3386861605.958886,188074.48827979513,72588.9532753785,69526.25525799458,62004.227519124404,43650.23904075069
88,0,4913.05376354577,5827.431512423125,33958958.03198207,-2427.6298837072345,19294.76720926675,21722.397092973984,0.9647017980938685,0.20546228643996,0.00267379679144385,21728298687.987026,116994309810.4309,78117465.46308167,29321575.689565852,27867668.77835148,8747708.681179224,9755721.345906615,1111.2435683913,142.27664930698717,20242.644938023408,518.683158378253,1280.9822409566807,762.2990825784277,-1.9313535420507648,5.295338895839592,0.0,469409237.547666,6042526047.750646,691505.6586442734,339882.7774255698,410173.9783981613,349838.5305596125,380051.2473828142
89,0,16960.710350963698,858.9414065677547,737780.3399165928,15976.732821771751,19015.514030591967,3038.7812088202154,0.6331159318270645,-0.8125317118303825,0.0,107862900005.0022,1115496456433.1638,3267506.89269116,17887.01453695358,16758.72613333046,6827.386515655479,1045.4582655175725,-2303.8463814361467,1320.5736157699143,1743914.6746676255,-4094.930706847596,526.741397271065,4621.672104118661,0.7564961135614222,-0.403019020367716,0.00267379679144385,2637306936.1475954,65434541103.02127,454189061.38147086,15635112.059565408,12254444.939790234,125989.09895108298,5067.2726115849355
90,0,8575.645345906536,12376.774882866674,153184556.50115934,-11691.4890697396,21214.776033766168,32906.265103505764,-0.3461496615203209,-1.57453314047796,0.00267379679144385,84795617350.37299,1735207502111.3555,5723568706.434358,124714002.06049371,93783981.84915368,5443913.200546774,172025.76833037907,-679.2887820356258,536.568604248461,287905.8670651416,-1791.0397238828427,80.46577503907429,1871.505498921917,-0.4246872783969065,-1.029819110828284,0.00267379679144385,280252829.557755,2301613363.1545296,2506798.599683774,54590.297323600826,41237.20494875011,4320.512942345133,963.6510751278488
91,0,-11913.75929532806,1839.376673306505,3383306.546304105,-13886.288004462582,-7695.089133976404,6191.198870486178,0.8173247557581399,-0.6088307038814085,0.0,54350041692.90163,748998612740.934,62164000.3450661,904180.7353414363,678493.7790006329,29599.86465713041,4390.596058102715,254.52066432468217,70.23000640544298,4932.253799708561,56.767546961476,321.0438801861708,264.2763332246948,-1.2252687209798008,0.3588204979498131,0.0,26072670.36562681,420872803.4219122,73202.26539949283,14519.441328968804,12082.154669545604,2066.688793420813,609.7443814250951
92,0,-3666.5080378103435,1849.1199646058324,3419244.643503875,-7670.939634976272,-1318.767305040111,6352.172329936161,-0.5263292361557114,-0.9382697641867366,0.0,6306584662.227066,57303285048.79,33456401.693918735,4844611.892901241,4554099.723090116,3988383.9231201583,3177189.799077091,-38.49691781320727,218.04822327492158,47545.02767335005,-498.96428826313695,259.85996978914727,758.8242580522842,-0.4355553689232477,-1.0210924905688328,0.00267379679144385,18336113.09257061,143795994.06781965,399057.6225381954,18628.836152655786,17601.953044878694,3046.680945399104,2559.396804704232
93,0,-533.0714317081057,361.0937950971787,130388.72885768327,-1312.8850049368266,173.87471000983078,1486.7597149466574,-0.4029400450152069,-1.0011624043730984,0.0053475935828877,155043151.18021882,433516624.74988043,1655825.7925771363,1047261.0899530835,1029376.2446583991,958591.0097523201,1253600.534022694,-1261.1943658636535,480.7737141183749,231143.3641871769,-2091.097432390554,-502.4362016523354,1588.6612307382184,-0.1506410154588181,-1.2224210066685983,0.0,681336217.6598514,7304928392.52686,1881774.6603161413,37437.10147735132,32045.717067340604,3779.1611289093566,2100.190734837983
94,0,-2616.727139803081,622.4672490361173,387465.47612259164,-4333.914777069707,-1124.578415078474,3209.3363619912334,0.7243097130401918,-0.24601283255668882,0.0,2705787673.7139235,36643048981.334656,24624389.004688304,10540198.545714052,10152847.195965914,9289629.166374387,11079699.705326099,655.025667198076,1880.204489070795,3535168.9207219696,-2095.646977209546,2965.5705368780796,5061.217514087626,-0.20297158389942754,-1.580553022789763,0.00267379679144385,1482621101.983435,25581412667.22605,81245785.97269683,6404707.54267326,5683174.467660505,900153.3750099591,773360.0857525661
